SB-AWI-2013S3  & SHNHH & 2013-04-09 & 2013-06-13 &  0.05  &  1.26  & 4 & 0 & 3 \
SB-AWI-2013S4  & SHNHH & 2013-03-16 & 2013-06-28 &  0.04  &  1.19  & 4 & 0 & 3 \
SB-AWI-2014S1  & SHNHH & 2014-04-01 & 2015-12-16 &  0.36  &  3.21  & 4 & 0 & 3 \
SB-AWI-2015S1  & SHNHH & 2015-09-19 & 2016-12-20 &  0.09  &  nan   & 4 & 0 & 3 \
